Train_loss	Valid_loss	Valid_acc	
0.695522	0.656368	1.000000	
0.699206	0.647265	1.000000	
0.701033	0.641327	1.000000	
0.705025	0.636437	1.000000	
0.694345	0.641880	1.000000	
0.698574	0.639996	1.000000	
0.702537	0.639496	1.000000	
0.704190	0.636669	1.000000	
0.704051	0.637887	1.000000	
0.693836	0.636827	1.000000	
0.703116	0.635256	1.000000	
0.698855	0.635447	1.000000	
0.699588	0.635693	1.000000	
0.708660	0.635456	1.000000	
0.703456	0.637424	1.000000	
0.706412	0.634498	1.000000	
0.704088	0.636147	1.000000	
0.697765	0.635147	1.000000	
0.703000	0.636278	1.000000	
0.705822	0.635659	1.000000	
0.702681	0.637392	1.000000	
0.701921	0.637167	1.000000	
0.707193	0.635375	1.000000	
0.703729	0.635622	1.000000	
0.703086	0.637095	1.000000	
0.703307	0.634981	1.000000	
0.701670	0.635438	1.000000	
0.703008	0.634745	1.000000	
0.702933	0.635652	1.000000	
0.702238	0.635768	1.000000	
0.702326	0.635587	1.000000	
0.702706	0.635122	1.000000	
0.701852	0.635690	1.000000	
0.702386	0.636041	1.000000	
0.701244	0.635047	1.000000	
0.702421	0.635165	1.000000	
0.702496	0.634409	1.000000	
0.703171	0.634461	1.000000	
0.702396	0.634631	1.000000	
0.702865	0.634078	1.000000	
0.702900	0.634128	1.000000	
0.702734	0.633581	1.000000	
0.702738	0.633234	1.000000	
0.703015	0.632672	1.000000	
0.702424	0.632396	1.000000	
0.703286	0.632692	1.000000	
0.703992	0.632497	1.000000	
0.702679	0.633103	1.000000	
0.702751	0.632972	1.000000	
0.703005	0.633099	1.000000	
0.703202	0.633249	1.000000	
0.702754	0.632869	1.000000	
0.702878	0.633272	1.000000	
0.702873	0.633163	1.000000	
0.702932	0.633154	1.000000	
0.703085	0.632857	1.000000	
0.702924	0.633031	1.000000	
0.702924	0.633048	1.000000	
0.702910	0.632933	1.000000	
0.702957	0.632822	1.000000	
0.702938	0.632788	1.000000	
0.702949	0.632748	1.000000	
0.702953	0.632723	1.000000	
0.702956	0.632707	1.000000	
0.702958	0.632697	1.000000	
0.702959	0.632692	1.000000	
0.702959	0.632689	1.000000	
0.702960	0.632687	1.000000	
0.702960	0.632685	1.000000	
0.702960	0.632685	1.000000	
0.702960	0.632685	1.000000	
0.702960	0.632684	1.000000	
0.702960	0.632684	1.000000	
0.702960	0.632684	1.000000	
0.702960	0.632684	1.000000	
0.702960	0.632684	1.000000	
0.702960	0.632684	1.000000	
0.702960	0.632684	1.000000	
0.702960	0.632684	1.000000	
0.702960	0.632684	1.000000	
0.702960	0.632684	1.000000	
0.702960	0.632684	1.000000	
0.702960	0.632684	1.000000	
0.702960	0.632684	1.000000	
0.702960	0.632684	1.000000	
0.702960	0.632684	1.000000	
0.702960	0.632684	1.000000	
0.702960	0.632684	1.000000	
0.702960	0.632684	1.000000	
0.702960	0.632684	1.000000	
0.702960	0.632684	1.000000	
0.702960	0.632684	1.000000	
0.702960	0.632684	1.000000	
0.702960	0.632684	1.000000	
0.702960	0.632684	1.000000	
0.702960	0.632684	1.000000	
0.702960	0.632684	1.000000	
0.702960	0.632684	1.000000	
0.702960	0.632684	1.000000	
0.702960	0.632684	1.000000	
