Train_loss	Valid_loss	Valid_acc	
0.701346	0.650113	1.000000	
0.705379	0.642745	1.000000	
0.700212	0.640420	1.000000	
0.701660	0.635323	1.000000	
0.702973	0.638972	1.000000	
0.697893	0.634709	1.000000	
0.703956	0.634192	1.000000	
0.698038	0.635370	1.000000	
0.701579	0.634269	1.000000	
0.702642	0.635281	1.000000	
0.699885	0.633754	1.000000	
0.704090	0.632463	1.000000	
0.701666	0.632346	1.000000	
0.704528	0.635518	1.000000	
0.708481	0.635092	1.000000	
0.703605	0.636551	1.000000	
0.700979	0.637130	1.000000	
0.704753	0.637312	1.000000	
0.704233	0.634126	1.000000	
0.702899	0.635113	1.000000	
0.699618	0.633630	1.000000	
0.702204	0.631620	1.000000	
0.703757	0.634646	1.000000	
0.704616	0.631678	1.000000	
0.700356	0.632939	1.000000	
0.701863	0.634257	1.000000	
0.702413	0.634342	1.000000	
0.701386	0.631132	1.000000	
0.705713	0.635943	1.000000	
0.702427	0.634859	1.000000	
0.704721	0.633524	1.000000	
0.703973	0.636594	1.000000	
0.702635	0.636600	1.000000	
0.702155	0.637728	1.000000	
0.701472	0.638536	1.000000	
0.700930	0.634778	1.000000	
0.701324	0.633848	1.000000	
0.700805	0.633979	1.000000	
0.703291	0.635420	1.000000	
0.702315	0.635342	1.000000	
0.701488	0.634738	1.000000	
0.704811	0.633669	1.000000	
0.703073	0.634996	1.000000	
0.701558	0.633969	1.000000	
0.703083	0.633293	1.000000	
0.702206	0.631563	1.000000	
0.702950	0.633012	1.000000	
0.702828	0.632056	1.000000	
0.699651	0.633335	1.000000	
0.702918	0.632594	1.000000	
0.702636	0.632427	1.000000	
0.702394	0.631525	1.000000	
0.703899	0.633302	1.000000	
0.703950	0.634310	1.000000	
0.701527	0.634782	1.000000	
0.704012	0.633655	1.000000	
0.702293	0.630902	1.000000	
0.705747	0.632465	1.000000	
0.703002	0.633402	1.000000	
0.701413	0.634522	1.000000	
0.705267	0.632955	1.000000	
0.702883	0.634877	1.000000	
0.702678	0.634451	1.000000	
0.701530	0.632826	1.000000	
0.701421	0.632318	1.000000	
0.701449	0.633113	1.000000	
0.702046	0.633339	1.000000	
0.701395	0.635084	1.000000	
0.702725	0.632415	1.000000	
0.702804	0.633285	1.000000	
0.702324	0.632412	1.000000	
0.702739	0.633119	1.000000	
0.703305	0.632673	1.000000	
0.702254	0.632773	1.000000	
0.704723	0.632978	1.000000	
0.702438	0.634554	1.000000	
0.701392	0.634888	1.000000	
0.703144	0.633994	1.000000	
0.704146	0.631287	1.000000	
0.703203	0.634968	1.000000	
0.700933	0.633546	1.000000	
0.704685	0.633656	1.000000	
0.696629	0.632854	1.000000	
0.700330	0.632915	1.000000	
0.702841	0.631154	1.000000	
0.701506	0.632762	1.000000	
0.700585	0.633174	1.000000	
0.701641	0.633192	1.000000	
0.699519	0.633749	1.000000	
0.701905	0.632954	1.000000	
0.702500	0.633764	1.000000	
0.702462	0.633502	1.000000	
0.705381	0.633944	1.000000	
0.701877	0.634091	1.000000	
0.700525	0.633414	1.000000	
0.704534	0.631117	1.000000	
0.703298	0.631332	1.000000	
0.702928	0.633261	1.000000	
0.703209	0.633985	1.000000	
0.701280	0.634639	1.000000	
